"Emergent_adults","Egg_Count","Detritus"
2,3,0
0,2,0.01
2,3,0.01
4,6,0.02
1,4,0.02
5,7,0.03
2,4,0.03
1,1,0.04
1,2,0.04
4,6,0.05
2,6,0.05
2,4,0.06
5,6,0.06
2,4,0.07
3,3,0.07
4,7,0.08
4,5,0.08
4,4,0.09
2,3,0.09
3,3,0.1
5,7,0.1
3,4,0.11
2,2,0.11
6,6,0.12
2,3,0.12
2,4,0.13
3,5,0.13
6,9,0.14
3,4,0.14
8,9,0.15
0,2,0.15
6,6,0.16
8,9,0.16
2,3,0.17
5,6,0.17
3,4,0.18
3,6,0.18
0,1,0.19
3,3,0.19
2,2,0.2
6,7,0.2
2,2,0.21
6,6,0.21
2,2,0.22
5,7,0.22
4,5,0.23
6,7,0.23
6,6,0.24
5,5,0.24
5,5,0.25
3,3,0.25
2,4,0.26
3,5,0.26
6,9,0.27
8,9,0.27
2,2,0.28
5,6,0.28
3,5,0.29
4,4,0.29
4,6,0.3
3,4,0.3
4,5,0.31
5,6,0.31
4,4,0.32
5,5,0.32
4,4,0.33
4,8,0.33
4,4,0.34
7,7,0.34
2,3,0.35
4,5,0.35
4,4,0.36
3,3,0.36
5,6,0.37
3,3,0.37
6,6,0.38
3,3,0.38
4,4,0.39
2,3,0.39
5,7,0.4
5,5,0.4
5,5,0.41
5,6,0.41
1,2,0.42
3,4,0.42
5,5,0.43
5,7,0.43
5,5,0.44
5,6,0.44
3,5,0.45
3,4,0.45
2,3,0.46
4,6,0.46
3,3,0.47
6,7,0.47
6,6,0.48
4,6,0.48
5,5,0.49
3,3,0.49
3,4,0.5
2,3,0.5
5,6,0.51
8,9,0.51
3,3,0.52
4,4,0.52
8,8,0.53
5,5,0.53
4,4,0.54
5,6,0.54
5,6,0.55
5,6,0.55
3,4,0.56
4,5,0.56
3,4,0.57
3,3,0.57
4,4,0.58
6,8,0.58
5,6,0.59
3,3,0.59
4,5,0.6
4,4,0.6
3,4,0.61
5,5,0.61
7,8,0.62
8,8,0.62
3,3,0.63
1,3,0.63
4,5,0.64
2,2,0.64
4,4,0.65
7,7,0.65
2,3,0.66
5,5,0.66
4,5,0.67
4,5,0.67
7,7,0.68
5,6,0.68
5,5,0.69
6,8,0.69
3,4,0.7
5,7,0.7
3,6,0.71
6,7,0.71
1,2,0.72
3,3,0.72
3,4,0.73
2,3,0.73
7,7,0.74
7,7,0.74
4,4,0.75
4,4,0.75
6,6,0.76
3,5,0.76
3,3,0.77
7,7,0.77
6,6,0.78
3,3,0.78
4,5,0.79
1,1,0.79
6,6,0.8
4,5,0.8
3,3,0.81
8,9,0.81
